text_encoding,model,AUC,AP
tfidf,GAT,0.79 (0.0),0.78 (0.01)
tfidf,GraphUNet,0.79 (0.03),0.77 (0.04)
tfidf,AGNN,0.83 (0.01),0.78 (0.02)
tfidf,SAGE,0.85 (0.0),0.87 (0.01)
tfidf,GIN,0.87 (0.01),0.88 (0.01)
tfidf,GCN,0.87 (0.0),0.89 (0.0)
d2v,GAT,0.79 (0.0),0.77 (0.01)
d2v,GraphUNet,0.79 (0.03),0.76 (0.03)
d2v,AGNN,0.83 (0.02),0.8 (0.02)
d2v,SAGE,0.85 (0.0),0.87 (0.01)
d2v,GIN,0.87 (0.01),0.89 (0.02)
d2v,GCN,0.86 (0.0),0.88 (0.0)
bert,GAT,0.78 (0.01),0.76 (0.01)
bert,GraphUNet,0.79 (0.03),0.76 (0.06)
bert,AGNN,0.84 (0.02),0.79 (0.02)
bert,SAGE,0.87 (0.0),0.89 (0.0)
bert,GIN,0.87 (0.02),0.88 (0.02)
bert,GCN,0.91 (0.01),0.91 (0.0)
